"terminal","servicetype","departures","waitingtimeminutes","journeytimeminutes","delayreason","retrievaldate","latitude","longitude","trend"
"F","normal",6,0,60,"none/unknown","2018-02-02 12:42:58.641",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-02 13:12:56.104",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 13:12:56.26",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 13:42:55.427",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 13:42:55.58",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 14:13:11.48",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 14:13:11.62",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 14:42:57.857",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 14:42:57.999",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 15:12:56.747",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 15:12:56.889",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 15:42:55.853",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 15:42:55.997",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 16:12:56.075",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 16:12:56.213",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 16:42:56.367",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 16:42:56.508",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 17:12:56.858",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 17:12:56.997",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 17:43:00.288",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 17:43:00.431",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 18:14:21.648",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 18:14:21.802",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 18:42:55.576",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 18:42:55.739",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 19:12:58.05",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 19:12:58.221",50.9239,1.81604,"stable"
"UK","normal",6,0,60,"none/unknown","2018-02-02 19:43:11.874",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 19:43:12.122",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 20:13:10.085",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-02 20:13:10.224",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-02 20:42:56.296",51.0963,1.13505,"stable"
"F","normal",6,0,60,"none/unknown","2018-02-02 20:42:56.45",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-02 21:12:56.81",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-02 21:12:56.947",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-02 21:42:55.397",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-02 21:42:55.535",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-02 22:13:10.713",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-02 22:13:10.851",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-02 22:42:57.552",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-02 22:42:57.691",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-02 23:13:09.568",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-02 23:13:09.706",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-02 23:42:54.123",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-02 23:42:54.261",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 00:13:09.075",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-03 00:13:09.215",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 00:42:54.747",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 00:42:54.885",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-03 01:12:56.164",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-03 01:12:56.311",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 01:42:54.003",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-03 01:42:54.15",50.9239,1.81604,"stable"
"UK","normal",2,0,60,"none/unknown","2018-02-03 02:13:10.553",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 02:13:10.692",50.9239,1.81604,"stable"
"UK","normal",3,0,60,"none/unknown","2018-02-03 02:42:55.249",51.0963,1.13505,"stable"
"F","normal",1,0,60,"none/unknown","2018-02-03 02:42:55.39",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 03:12:56.03",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 03:12:56.193",50.9239,1.81604,"stable"
"UK","normal",1,0,60,"none/unknown","2018-02-03 03:42:54.127",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 03:42:54.265",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 04:13:08.993",51.0963,1.13505,"stable"
"F","normal",2,0,60,"none/unknown","2018-02-03 04:13:09.133",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 04:42:54.377",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 04:42:54.518",50.9239,1.81604,"stable"
"UK","normal",1,0,60,"none/unknown","2018-02-03 05:12:56.017",51.0963,1.13505,"stable"
"F","normal",3,0,60,"none/unknown","2018-02-03 05:12:56.155",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 05:42:55.861",51.0963,1.13505,"stable"
"F","normal",4,0,60,"none/unknown","2018-02-03 05:42:56.008",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-03 06:13:10.994",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-03 06:13:11.133",50.9239,1.81604,"stable"
"UK","normal",4,0,60,"none/unknown","2018-02-03 06:42:56.921",51.0963,1.13505,"stable"
"F","normal",5,0,60,"none/unknown","2018-02-03 06:42:57.058",50.9239,1.81604,"stable"
"UK","normal",5,0,60,"none/unknown","2018-02-03 07:12:55.583",51.0963,1.13505,"stable"
